vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762264HE1_Overview.vsi	10762264HE1_Overview	1	1431326		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762266HE1.vsi	10762266HE1	0	384007	1	0	40x	32703	35737	0.170663	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762266HE1_Overview.vsi	10762266HE1_Overview	1	1432040		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762268HE1.vsi	10762268HE1	0	633709	1	0	40x	29060	20901	0.170665	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762268HE1_Overview.vsi	10762268HE1_Overview	1	1434622		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762270HE1.vsi	10762270HE1	0	322477	1	0	40x	36630	31789	0.170666	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762270HE1_Overview.vsi	10762270HE1_Overview	1	1434004		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762272HE1.vsi	10762272HE1	0	258905	1	0	40x	37241	19090	0.170663	0.170661	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762272HE1_Overview.vsi	10762272HE1_Overview	1	1434380		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762274HE1.vsi	10762274HE1	0	671003	1	0	40x	27534	25134	0.170663	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762274HE1_Overview.vsi	10762274HE1_Overview	1	1432226		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762276HE1.vsi	10762276HE1	0	340693	1	0	40x	32703	37243	0.170663	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762276HE1_Overview.vsi	10762276HE1_Overview	1	1435010		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762282HE1.vsi	10762282HE1	0	792891	1	0	40x	28450	29998	0.170662	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762282HE1_Overview.vsi	10762282HE1_Overview	1	1433056		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762284HE1.vsi	10762284HE1	0	365879	1	0	40x	33904	33010	0.170661	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762284HE1_Overview.vsi	10762284HE1_Overview	1	1436790		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762294HE1.vsi	10762294HE1	0	686933	1	0	40x	24522	28777	0.170664	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762294HE1_Overview.vsi	10762294HE1_Overview	1	1433042		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762296HE1.vsi	10762296HE1	0	431329	1	0	40x	39337	35737	0.170664	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762296HE1_Overview.vsi	10762296HE1_Overview	1	1431302		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762298HE1.vsi	10762298HE1	0	635189	1	0	40x	21795	30609	0.170665	0.170662	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762298HE1_Overview.vsi	10762298HE1_Overview	1	1432604		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762300HE1.vsi	10762300HE1	0	742571	1	0	40x	29366	27271	0.17066	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762300HE1_Overview.vsi	10762300HE1_Overview	1	1434438		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10763991HE1.vsi	10763991HE1	0	539897	1	0	40x	29060	20291	0.170665	0.170659	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10763991HE1_Overview.vsi	10763991HE1_Overview	1	1432280		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10763992HE1.vsi	10763992HE1	0	707829	1	0	40x	25133	31484	0.170661	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10763992HE1_Overview.vsi	10763992HE1_Overview	1	1428452		-1											no scenes
